index,id,queue_pos,source,subject,answer,exp_len,severity,issues,question
173,official_115_1_subject3_23,,official_115_1_subject3,,D,939,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題目問的是原因、目的還是改善策略,某團隊開發法律文件生成系統，需根據合約前半段內容自動生成後半段條款。工 程師分別使用 BERT 與 GPT-2 進行微調，但發現 BERT 的生成效果明顯較差，且 即使增加訓練資料也無法改善。下列何者為最主要原因？
174,official_115_1_subject3_24,21,official_115_1_subject3,,D,880,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題幹線索是「核心考點辨識與選項排除」,"某推薦系統工程師處理商品類別特徵，該特徵包含約 3,000 個不同商品項目，每 一種商品或其規格皆視為一個獨立類別。請問在高基數（High Cardinality）的情 境下，下列哪一種編碼方式最容易造成維度爆炸問題？"
175,official_115_1_subject3_25,88,official_115_1_subject3,,A,869,重大,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題目問的是原因、目的還是改善策略；可能缺原題素材/圖表/程式碼,某工程師建立房價預測模型，輸入特徵包含屋齡與距捷運站距離（公尺） 。他發現 距捷運站距離分布嚴重右偏，經對數（Log）轉換後模型表現明顯改善；但將同樣 轉換套用於屋齡後，模型表現反而下降。下列何者為最可能的原因？
177,official_115_1_subject3_27,,official_115_1_subject3,,C,665,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某工程師建立零售商品銷量預測模型，初期以第 1 至 52 週資料作為訓練集、第 53 週作為測試集（固定時間切分）。半年後重新評估，發現模型對最新資料（如 第 80 週）的預測明顯衰退，推測為時間演進導致行為模式改變。若重新設計驗 證策略，應採用下列哪種方法，使每次訓練皆基於最新
179,official_115_1_subject3_29,25,official_115_1_subject3,,B,867,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題目問的是原因、目的還是改善策略,某工廠設備監測系統需偵測馬達軸承的異常振動，但過去僅記錄了大量正常運作 的振動時序資料，缺乏任何已確認故障的標註樣本。請問下列何種任務範疇最符 合此情境下的異常偵測需求？
180,official_115_1_subject3_30,,official_115_1_subject3,,B,860,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某信用風險模型：訓練 AUC=0.97、驗證 AUC=0.72、少數違約樣本預測波動極大 及不同 K-fold 切分結果差異明顯。下列何者為最可能的問題？
181,official_115_1_subject3_31,126,official_115_1_subject3,,A,861,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,"某倉儲自動化公司以強化學習（Reinforcement Learning, RL）訓練機器手臂進行 揀貨，獎勵函數設計為「每成功抓取一個貨品得+1 分」。部署後發現機器手臂學 會反覆放開再抓取同一物品，以累積分數，但實際完成任務的效率極低。請問此 現象的核心問題為何？應如何修正獎"
182,official_115_1_subject3_32,,official_115_1_subject3,,D,1140,重大,模板句:常見陷阱是偷換概念、把次要效果說成主要目的；可能缺原題素材/圖表/程式碼,某詐欺偵測模型需同時具備高精確率（Precision） ，以避免誤凍結正常帳號，並維 持高召回率（Recall）表現，以確保不放過任何詐欺行為。然而工程師發現兩者之 間存在取捨關係（Precision-Recall Tradeoff） 。在此情境下，F1-score 最能反映何種
183,official_115_1_subject3_33,64,official_115_1_subject3,,B,676,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某工程師的多元線性迴歸模型包含 150 個特徵，其中許多特徵高度相關（如「建 坪」與「總面積」） 。他同時希望控制過擬合且保留所有特徵的解釋能力，不讓任 何特徵係數歸零，下列哪一項正則化方案最適當？
184,official_115_1_subject3_34,,official_115_1_subject3,,D,899,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某工程師使用 XGBoost 模型進行調參，需對以下超參數進行網格搜尋（Grid Search）：learning_rate（3 個候選值）、max_depth（4 個）、n_estimators（5 個）、 subsample（3 個）、colsample_bytree（3 個
185,official_115_1_subject3_35,57,official_115_1_subject3,,D,691,重大,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜這題在考你能不能把題幹描述對應到正確概念，而不是只靠單一名詞猜答案；可能缺原題素材/圖表/程式碼,某團隊使用 LoRA 微調大型語言模型進行法律摘要任務，發現模型在複雜條款的 摘要上常出現內容遺漏，但 GPU 顯存已接近上限。下列哪種調整方式最能在不 明顯增加記憶體使用的前提下改善模型表現？
186,official_115_1_subject3_36,54,official_115_1_subject3,,B,738,警示,模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某金融機構的 AI 信用評分模型需上傳至第三方雲端服務商進行推論。法務部門 要求：在不解密資料的前提下，由單一雲端服務商直接對加密資料進行模型運算。 下列哪種隱私保護技術最符合此需求？
190,official_115_1_subject3_40,,official_115_1_subject3,,B,932,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,分析師準備建立一個能將手寫數字圖片（28x28 像素展平為 784 維度）分為 0~9 共 10 個類別的多層感知機（MLP） ，且標籤已轉為 One-Hot 編碼（One-Hot Encoding） 。 為符合 10 個類別的單標籤分類需求，下圖中的程式碼中
191,official_115_1_subject3_41,18,official_115_1_subject3,,B,880,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,工程師使用 PyTorch 建立 OCR 訓練 pipeline，並對手寫字母資料集套用下圖程式進 行資料增強（Transform） 。模型在訓練過程中顯示驗證損失（Validation Loss）持續 下降，但實際部署後，系統在辨識「b/d/p/q」類字母錯誤率異常偏高。下列何
192,official_115_1_subject3_42,124,official_115_1_subject3,,C,1362,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,下圖為使用 ResNet 進行遷移學習（Transfer Learning）的 Python 程式片段（第 42~43 題共用）：  import torch import torch.nn as nn import torchvision  model = torchvisio
193,official_115_1_subject3_43,,official_115_1_subject3,,D,922,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題目問的是原因、目的還是改善策略,在進行遷移學習微調（Fine-Tuning）時，通常會將優化器的學習率（Learning Rate） 設得非常小（如 1e-4），下列何者為主要的原因？
194,official_115_1_subject3_44,127,official_115_1_subject3,,B,910,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,研究人員撰寫的程式中（下圖），先用整體資料進行 LDA（Linear Discriminant Analysis）降維，接著再用 KNN（K-Nearest Neighbors）進行分類，並用交叉驗證 來評估準確率。請問下列敘述何者正確？
196,official_115_1_subject3_46,84,official_115_1_subject3,,B,1278,重大,"缺選項逐項解析:A,B,C,D；模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題幹線索是「核心考點辨識與選項排除」","參考下圖資料處理程式碼：  x_train, x_test = x_train / 255.0, x_test / 255.0 y_train = tf.keras.utils.to_categorical(y_train, 10) y_test = tf.keras.utils"
197,official_115_1_subject3_47,134,official_115_1_subject3,,B,1378,重大,"缺選項逐項解析:A,B,C,D；模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題幹線索是「核心考點辨識與選項排除」","參考下圖 CNN 模型建立程式碼（區塊 2~4，區塊 1 為輸入層與第一組 Conv2D，圖中省略）：  區塊 2： layers.Conv2D(64, (3,3), activation='relu', padding='same'), layers.BatchNormaliz"
198,official_115_1_subject3_48,,official_115_1_subject3,,D,891,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,參考下圖繪圖結果，當 Epochs=6 時，訓練曲線值(0.81)明顯大於驗證曲線值(0.72)， 下列何者為最可能的原因？
199,official_115_1_subject3_49,128,official_115_1_subject3,,C,973,重大,模板句:常見陷阱是偷換概念、把次要效果說成主要目的；可能缺原題素材/圖表/程式碼,若團隊需要建立一個超過 50 層的深層神經網路，以捕捉晶圓表面細微的劃傷特徵， 但又擔心傳統深層網路常見的梯度消失（Vanishing Gradient）問題，則下列哪一種 經典架構最適合優先考慮？
205,S1_05,67,generated,1,C,604,重大,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的；可能缺原題素材/圖表/程式碼,AI 導入評估時，ROI 代表的是？
206,S1_06,,generated,1,C,867,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,下列哪個模型是「靜態詞嵌入」，即同一個詞在任何語境下向量都相同？
208,S1_08,,generated,1,C,965,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,Transformer 架構的核心機制是？
209,S1_09,,generated,1,B,641,重大,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的；可能缺原題素材/圖表/程式碼,下列哪個模型專門用於「圖像與文字對齊」的多模態學習？
212,S1_12,,generated,1,B,866,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,AI 可行性評估中，技術層面最關鍵的前提條件是？
214,S1_14,,generated,1,C,603,重大,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的；可能缺原題素材/圖表/程式碼,SWOT 分析中，「T」代表的是？
215,S1_15,,generated,1,B,585,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,「邊緣運算（Edge Computing）」部署方式的主要優勢是？
216,S1_16,,generated,1,B,647,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,MLOps 的核心目的是？
217,S1_17,,generated,1,B,918,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,「資料標準化（Standardization）」的主要目的是？
218,S1_18,46,generated,1,B,620,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,模型「過擬合（Overfitting）」的典型症狀是？
219,S1_19,,generated,1,B,623,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,「資料漂移（Data Drift）」指的是？
220,S1_20,39,generated,1,C,653,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,情感分析（Sentiment Analysis）屬於機器學習中的哪類任務？
221,S1_21,,generated,1,B,873,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,模型部署時，使用 API 的主要優點是？
222,S1_22,66,generated,1,B,648,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,AI 專案中設定 KPI 的主要原因是？
223,S1_23,51,generated,1,B,662,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,持續監控模型效能時，最重要的兩個指標是？
224,S1_24,,generated,1,B,863,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,「多模態 AI」相較於單一模態 AI 的核心優勢是？
225,S1_25,,generated,1,C,873,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,下列哪項屬於 AI 系統的「倫理風險」？
227,S1_27,,generated,1,A,857,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,「持續學習（Continual Learning）」的核心概念是？
228,S1_28,,generated,1,B,854,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,下列哪個應用場景最適合使用電腦視覺技術？
230,S1_30,,generated,1,B,956,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題目問的是原因、目的還是改善策略,「遷移學習（Transfer Learning）」和「微調（Fine-tuning）」的關係是？
231,S3_01,34,generated,3,C,588,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,貝氏定理公式 P(A|B) = P(B|A)·P(A)/P(B) 中，P(A) 稱為？
234,S3_04,,generated,3,C,1013,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,「隨機森林（Random Forest）」使用的集成技術是？
236,S3_06,96,generated,3,C,876,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,LSTM（長短期記憶網路）主要解決了 RNN 的什麼問題？
237,S3_07,,generated,3,B,620,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜這題在考你能不能把題幹描述對應到正確概念，而不是只靠單一名詞猜答案,「Early Stopping」的目的是？
238,S3_08,121,generated,3,C,886,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,「One-Hot Encoding」適合用於哪類特徵？
239,S3_09,,generated,3,B,867,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,「L2 正則化（Ridge）」對模型的影響是？
240,S3_10,98,generated,3,B,861,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,K-means 聚類中，選擇最佳 K 值常用的方法是？
242,S3_12,,generated,3,B,685,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,「Batch Normalization」的主要作用是？
243,S3_13,33,generated,3,B,626,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,超參數搜尋中，「Bayesian Optimization」相較於 Grid Search 的優勢是？
245,S3_15,,generated,3,B,610,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,K-Fold 交叉驗證的主要目的是？
246,S3_16,,generated,3,B,855,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,AI 演算法「偏見（Bias）」最常見的來源是？
247,S3_17,,generated,3,B,875,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題目問的是原因、目的還是改善策略,SHAP 和 LIME 工具主要用於解決 AI 的哪個問題？
248,S3_18,42,generated,3,D,704,警示,模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,多類別分類任務的輸出層應使用哪個激活函數？
249,S3_19,70,generated,3,B,655,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,「損失函數」在機器學習中的作用是？
250,S3_20,49,generated,3,B,678,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,特徵選擇（Feature Selection）的主要目的是？
252,S3_22,,generated,3,C,931,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,XGBoost 屬於哪種集成學習方式？
254,S3_24,112,generated,3,B,900,重大,可能缺原題素材/圖表/程式碼,AUC-ROC 曲線中，AUC 值越接近 1 代表什麼？
255,S3_25,,generated,3,B,619,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,「去識別化（De-identification）」的目的是？
256,S3_26,,generated,3,C,951,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,邏輯迴歸（Logistic Regression）輸出層使用的函數是？
257,S3_27,,generated,3,B,907,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題目問的是原因、目的還是改善策略,處理訓練資料中的缺失值，下列哪個做法最常見？
258,S3_28,,generated,3,B,621,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜這題在考你能不能把題幹描述對應到正確概念，而不是只靠單一名詞猜答案,Mini-batch Gradient Descent 相較於全批次（Batch GD）的優勢是？
259,S3_29,,generated,3,B,871,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,「公平性指標 Demographic Parity」的定義是？
260,S3_30,,generated,3,B,856,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,選擇機器學習模型時，最重要的考量因素是？
